channel_index,graspnet_ref,ln_affine,ln_affine_adapter,ln_adapter
71,0.0863981619477272,0.04002916440367699,0.0193428136408329,0.0193428136408329
72,0.7789430618286133,0.037434015423059464,0.01408841647207737,0.01408841647207737
73,0.1848057210445404,0.034726791083812714,0.015303324908018112,0.015303324908018112
74,0.4578274190425873,0.1005614772439003,0.00850833673030138,0.00850833673030138
75,0.4009670913219452,0.033195190131664276,0.003540368052199483,0.003540368052199483
76,0.1871519237756729,0.05296267941594124,0.007918727584183216,0.007918727584183216
77,0.39568406343460083,0.07824433594942093,0.008637369610369205,0.008637369610369205
78,0.14941070973873138,0.04862087219953537,0.014652428217232227,0.014652428217232227
79,0.3122206926345825,0.039967864751815796,0.01425098441541195,0.01425098441541195
80,0.5344302654266357,0.07261298596858978,0.019429855048656464,0.019429855048656464
81,0.3447824716567993,0.0389249213039875,0.014802771620452404,0.014802771620452404
82,0.40786075592041016,0.0380125567317009,0.013936509378254414,0.013936509378254414
83,0.07973624020814896,0.023519007489085197,0.017137371003627777,0.017137371003627777
84,0.2824409008026123,0.04508871212601662,0.004724497906863689,0.004724497906863689
85,0.37504392862319946,0.05772261321544647,0.008818697184324265,0.008818697184324265
86,0.1903010755777359,0.03334463760256767,0.014699487946927547,0.014699487946927547
87,0.008728540502488613,0.0458659790456295,0.006129160523414612,0.006129160523414612
88,0.4685058891773224,0.05056136101484299,0.01287049986422062,0.01287049986422062
89,0.0,0.07661037892103195,0.00801556371152401,0.00801556371152401
90,0.27979353070259094,0.06187686324119568,0.010651265271008015,0.010651265271008015
91,0.3151942789554596,0.02235443890094757,0.013730963692069054,0.013730963692069054
92,0.5005149841308594,0.022279435768723488,0.012862864881753922,0.012862864881753922
93,0.18595336377620697,0.05463665351271629,0.008677852340042591,0.008677852340042591
94,0.20609129965305328,0.03612880781292915,0.008787401020526886,0.008787401020526886
95,0.040741950273513794,0.02777390368282795,0.01140221394598484,0.01140221394598484
96,0.06296384334564209,0.0190335251390934,0.012924588285386562,0.012924588285386562
97,0.003897853661328554,0.012167686596512794,0.01476017665117979,0.01476017665117979
98,0.5266479253768921,0.04248693957924843,0.01804365962743759,0.01804365962743759
99,0.021982191130518913,0.04102064669132233,0.010191069915890694,0.010191069915890694
